,year,state,rate,White,Black or African American,median_income,% educated,modified_wage
0,2020,Florida,28.4,71.6,15.9,60460.0,28.46294776,8.959706191
1,2020,West Virginia,39.1,92.5,3.6,54396.0,19.93858033,9.158578174
2,2020,Kentucky,36.6,86.2,8.1,59405.0,23.13074623,7.588536201
3,2020,Alabama,39.0,67.5,26.6,57243.0,24.03437226,7.588536201
4,2020,Oklahoma,36.4,71.1,7.3,54921.0,23.81011249,7.588536201
5,2020,Mississippi,39.7,58.0,37.7,47242.0,20.72611001,7.588536201
6,2020,Arkansas,36.4,75.4,15.2,53148.0,21.96981344,10.46694648
7,2020,Louisiana,38.1,61.2,32.2,53576.0,22.8928778,7.588536201
8,2020,South Dakota,33.2,83.6,2.1,73467.0,27.09267333,9.734260231
9,2020,Ohio,35.5,80.5,12.4,63198.0,26.74058203,9.106243442
10,2020,Missouri,34.0,81.3,11.4,65081.0,27.67384156,9.891264428
11,2020,Iowa,36.5,89.1,3.7,72030.0,27.01951333,7.588536201
12,2020,Indiana,36.8,82.3,9.4,69925.0,25.03018018,7.588536201
13,2020,South Carolina,36.2,66.5,26.4,63159.0,26.71756243,7.588536201
14,2020,Texas,35.8,69.2,12.1,71599.0,27.92196372,7.588536201
15,2020,Kansas,35.3,83.0,5.7,76495.0,30.9043993,7.588536201
16,2020,North Carolina,33.6,67.6,21.4,63252.0,29.4280345,7.588536201
17,2020,Nebraska,34.0,85.3,4.8,75622.0,29.89025507,9.420251836
18,2020,North Dakota,33.1,85.7,3.2,67109.0,28.2704146,7.588536201
19,2020,Tennessee,35.6,76.7,16.7,57542.0,26.10718683,7.588536201
20,2020,New Mexico,30.9,70.0,2.1,53283.0,25.52091112,9.420251836
21,2020,Michigan,35.2,77.6,13.6,67399.0,27.70524967,10.10060336
22,2020,Maryland,31.0,54.2,29.9,99215.0,37.92032887,11.51364113
23,2020,Illinois,32.4,69.8,14.1,77805.0,33.00548408,10.46694648
24,2020,Virginia,32.2,66.3,19.0,86053.0,36.38780254,7.588536201
25,2020,Delaware,36.5,67.4,22.0,73292.0,30.14923926,9.681925498
26,2020,Georgia,34.3,57.2,31.6,62033.0,29.38547158,7.588536201
27,2020,Wisconsin,32.3,84.3,6.3,70553.0,28.53048126,7.588536201
28,2020,Alaska,31.9,63.4,3.2,78236.0,26.96127926,10.66581847
29,2020,Pennsylvania,31.5,79.4,11.1,74094.0,30.17504751,7.588536201
30,2020,Minnesota,30.7,81.6,6.4,82431.0,34.20961096,10.46694648
31,2020,Wyoming,30.7,90.3,0.9,68506.0,25.76050055,7.588536201
32,2020,Maine,31.0,93.7,1.4,66667.0,30.50846991,12.56033578
33,2020,Montana,28.5,87.8,0.6,59390.0,30.42901589,9.053908709
34,2020,Idaho,31.1,88.4,0.7,69841.0,26.04718847,7.588536201
35,2020,Arizona,30.9,73.8,4.5,70220.0,27.67038419,12.56033578
36,2020,Nevada,28.7,62.1,9.3,64020.0,23.4218241,9.420251836
37,2020,Utah,28.6,85.1,1.2,87915.0,30.26757567,7.588536201
38,2020,New Hampshire,29.9,92.0,1.6,93045.0,34.85607915,7.588536201
39,2020,Connecticut,29.2,74.2,10.7,83141.0,37.19153499,12.56033578
40,2020,Oregon,28.1,82.6,1.9,80443.0,31.75543247,12.56033578
41,2020,Rhode Island,30.1,79.0,6.5,83918.0,32.14990485,12.03698846
42,2020,New York,26.3,62.3,15.4,71865.0,35.15645564,12.35099685
43,2020,Vermont,26.3,93.6,1.3,70398.0,36.06725273,11.47177335
44,2020,Washington,28.0,73.5,3.9,85157.0,33.93096701,14.13037775
45,2020,New Jersey,27.7,65.5,13.4,89543.0,38.20775206,11.51364113
46,2020,California,30.3,56.1,5.7,81278.0,31.86587013,13.60703043
47,2020,Massachusetts,24.4,76.6,7.5,91912.0,41.31154722,13.34535677
48,2020,Colorado,24.2,81.5,4.1,87689.0,38.22908135,12.56033578
49,2020,Hawaii,24.5,24.1,1.9,84600.0,30.89807278,10.57161595
50,2020,District of Columbia,24.3,41.1,45.4,92337.0,55.23539483,15.70041973
51,2019,Florida,27.0,74.5,16.0,61856.0,28.65146388,8.965577689
52,2019,West Virginia,39.7,93.1,3.7,56916.0,19.87645544,9.272908367
53,2019,Kentucky,36.5,86.7,8.1,58989.0,23.26556156,7.683266932
54,2019,Alabama,36.1,67.8,26.9,59558.0,24.10823274,7.683266932
55,2019,Oklahoma,36.8,72.4,7.3,62946.0,23.93519976,7.683266932
56,2019,Mississippi,40.8,58.0,38.0,47463.0,20.28397584,7.683266932
57,2019,Arkansas,37.4,76.7,15.5,57799.0,21.5988325,9.802788845
58,2019,Louisiana,35.9,61.8,32.4,54797.0,23.02020703,7.683266932
59,2019,South Dakota,33.0,84.1,2.4,68095.0,27.38478316,9.643824701
60,2019,Ohio,34.8,80.9,12.6,68527.0,27.04117386,9.060956175
61,2019,Missouri,34.8,81.8,11.5,64218.0,28.05269466,9.113944223
62,2019,Iowa,33.9,89.9,4.1,70002.0,26.86467426,7.683266932
63,2019,Indiana,35.3,82.8,9.6,70679.0,24.86128209,7.683266932
64,2019,South Carolina,35.4,66.7,26.5,65735.0,27.2304823,7.683266932
65,2019,Texas,34.0,73.4,12.3,71474.0,27.98278644,7.683266932
66,2019,Kansas,35.2,83.6,5.7,77523.0,30.90912706,7.683266932
67,2019,North Carolina,34.0,68.1,21.5,64814.0,29.65176702,7.683266932
68,2019,Nebraska,34.1,86.2,4.9,77437.0,30.80636629,9.537848606
69,2019,North Dakota,34.8,85.8,2.9,74216.0,27.97255004,7.683266932
70,2019,Tennessee,36.5,77.2,16.7,60011.0,26.69402691,7.683266932
71,2019,New Mexico,31.7,73.9,2.3,56287.0,25.24468893,7.948207171
72,2019,Michigan,36.0,78.2,13.7,67951.0,27.80247666,10.01474104
73,2019,Maryland,32.3,54.5,30.3,101283.0,38.08731841,10.70358566
74,2019,Illinois,31.6,71.4,14.1,78845.0,33.27823623,8.743027888
75,2019,Virginia,31.9,67.0,19.4,86172.0,36.40154695,7.683266932
76,2019,Delaware,34.4,67.7,22.5,78628.0,30.71648104,9.272908367
77,2019,Georgia,33.1,57.8,31.9,60012.0,29.63783864,7.683266932
78,2019,Wisconsin,34.2,85.2,6.4,71380.0,29.00777842,7.683266932
79,2019,Alaska,30.5,64.2,3.1,83079.0,27.05311383,10.48103586
80,2019,Pennsylvania,33.2,79.6,11.4,74800.0,30.19966048,7.683266932
81,2019,Minnesota,30.1,82.1,6.6,86292.0,34.75461977,10.44924303
82,2019,Wyoming,29.7,90.9,1.2,69027.0,26.63854961,7.683266932
83,2019,Maine,31.7,94.0,1.6,70523.0,31.21348006,11.65737052
84,2019,Montana,28.3,88.0,0.7,63792.0,30.70961966,9.007968127
85,2019,Idaho,29.5,89.4,0.7,69932.0,26.12763603,7.683266932
86,2019,Arizona,31.4,78.3,4.7,74897.0,27.7012216,11.65737052
87,2019,Nevada,30.6,64.6,9.6,75143.0,23.66508344,8.743027888
88,2019,Utah,29.2,87.3,1.2,89574.0,30.33480544,7.683266932
89,2019,New Hampshire,31.8,92.6,1.6,92093.0,34.76226589,7.683266932
90,2019,Connecticut,29.1,74.6,11.1,92507.0,37.03427413,10.70358566
91,2019,Oregon,29.0,83.5,1.8,78860.0,31.93827813,11.92231076
92,2019,Rhode Island,30.0,78.7,7.4,74344.0,32.00659978,11.12749004
93,2019,New York,27.1,63.2,15.9,76149.0,35.58248034,11.76334661
94,2019,Vermont,26.6,93.8,1.5,78746.0,35.28436808,11.42422311
95,2019,Washington,28.3,74.2,4.0,87381.0,34.15748645,12.71713147
96,2019,California,26.2,59.4,5.8,82772.0,32.18654787,12.71713147
97,2019,Massachusetts,25.2,77.0,7.9,92949.0,41.80822152,12.71713147
98,2019,Colorado,23.8,83.7,4.2,76832.0,39.26780644,11.76334661
99,2019,Hawaii,25.0,24.1,1.9,93265.0,30.92225852,10.70358566
100,2019,District of Columbia,23.8,42.5,45.4,98675.0,55.07226814,14.83665339
101,2018,West Virginia,38.1,93.0,3.8,54566.0,19.93848637,9.440914008
102,2018,Mississippi,37.3,58.1,38.0,46159.0,21.01978772,7.822471606
103,2018,Oklahoma,36.5,72.2,7.3,58732.0,23.29478207,7.822471606
104,2018,Iowa,36.4,90.2,3.6,74144.0,26.8192092,7.822471606
105,2018,Alabama,36.3,67.7,26.7,53879.0,23.39467606,7.822471606
106,2018,Louisiana,36.2,61.7,32.4,53919.0,22.20274405,7.822471606
107,2018,Arkansas,35.0,76.5,15.2,53712.0,21.36622703,9.171173607
108,2018,Kentucky,34.3,86.7,7.9,58863.0,22.86185052,7.822471606
109,2018,Alaska,34.2,64.4,3.4,74161.0,27.12887515,10.61698215
110,2018,South Carolina,34.1,67.0,26.6,61980.0,25.93995353,7.822471606
111,2018,Ohio,33.8,81.0,12.4,66500.0,26.83760182,8.955381287
112,2018,Indiana,33.6,82.8,9.5,64621.0,24.95021777,7.822471606
113,2018,North Dakota,33.2,85.7,3.4,71756.0,26.80575984,7.822471606
114,2018,Texas,33.0,73.5,12.3,64506.0,27.49467536,7.822471606
115,2018,Tennessee,32.8,77.3,16.8,60487.0,25.45082485,7.822471606
116,2018,Nebraska,32.8,86.4,4.7,72911.0,29.94887175,9.710654408
117,2018,Missouri,32.5,82.2,11.5,66600.0,27.28186465,8.469848567
118,2018,Kansas,32.4,84.0,5.9,68987.0,30.77096701,7.822471606
119,2018,Michigan,32.3,78.3,13.8,65222.0,27.31352908,9.980394808
120,2018,North Carolina,32.1,68.4,21.4,57583.0,29.40165668,7.822471606
121,2018,Wisconsin,32.0,85.3,6.4,67574.0,27.87951812,7.822471606
122,2018,South Dakota,31.9,84.0,2.2,64158.0,26.89720444,9.333017847
123,2018,Delaware,31.8,68.2,22.5,70145.0,28.8532645,8.901433207
